Title,Company,Location,Description,Category,Job Link,Job Position id,Date Posted,Job Extract Date
COVID-19 Tester,Malibu Medical Corporation,"San Fernando, CA","Covid Testers for the school district looking for professional Swabbers dealing with kids from all ages and adults willing to train work hours vary
Job Types: Full-time, Temporary
Pay: $18.00 - $23.15 per hour
Schedule:
Day shift
Monday to Friday
COVID-19 considerations:
TBD
Education:
Bachelor's (Preferred)
Experience:
SQL: 1 year (Preferred)
Selenium: 1 year (Preferred)
Test automation: 1 year (Preferred)
Shift availability:
Day Shift (Preferred)
Willingness to travel:
100% (Required)
Work Location:
On the road
Work Remotely:
No",Full-time,https://www.indeed.com/viewjob?jk=9c28d665bb4d0a9e,,1 day ago,2021-08-18
Test Automation Engineer,Matroid,"Palo Alto, CA 94306 (Ventura area)","With the rapid growth of artificial intelligence, expert knowledge must use cutting-edge machine learning techniques to solve real-world problems. At Matroid, we're building an intuitive product that allows anyone to train and deploy computer vision models without the need to write code.
Founded by a Stanford Professor in 2016, Matroid has raised $33.5 million in funding and is in use in a range of manufacturing, security, and industrial IoT applications.
We're looking for a talented test automation engineer to build out a testing framework for our computer vision services. You'll operate with autonomy while working in an engineering culture that fosters empowerment. Along the way you will learn about cutting edge machine learning, and over time your role on the team will evolve with your growing interests and skill set.
Once we reopen, this position will be onsite at our Palo Alto office, near the Stanford campus and Caltrain.
What you'll be doing
Develop automated tests for our product and services using frameworks like Mocha, Selenium, Jest
Work with our development team to test new features, converting initial manual efforts into new automated tests
Identify new automation best practices for our growing engineering team
Improve our continuous delivery pipeline, ensuring that we can roll out frequent, robust releases
Raise the bar for our product quality, by catching bugs before they get to end users
Design methods to test complex machine learning pipelines
How you'll be doing it
You'll be part of a world-class, multidisciplinary engineering team, where each member identifies and prioritizes valuable and interesting new features to work on.
You will operate in a collaborative but highly autonomous environment that isn't bogged down by unnecessary meetings or project management.
You will know that almost everything you build affects real world users, and you will set the quality standards for your work appropriately.
You will think creatively and your suggestions about new features and ideas we'll be considered by other members of the team.
You'll be working with modern Javascript and Python testing frameworks and infrastructure.
You will learn a lot along the way, diving into new technologies and the world of computer vision both on your own and during frequent company tech talks.
What you'll bring to the table
You have experience testing large scale software products.
You are a self starter who can prioritize what to work on and build out a robust testing pipeline.
You have the creativity to always think of new ways to break things. You won't settle until until we've covered as many corner cases as possible.
You're comfortable writing a variety of tests: during a given week you might go from writing unit tests for a backend service to end-to-end functional browser tests.
You can show that you're smart, analytical, and a fast learner. Sometimes you'll work on things using unfamiliar languages or technologies, but you know you can handle that.
There aren't any strict requirements for your background, but you're technical. Maybe you have a CS (or similar) degree, or you're a bootcamp grad with a STEM background, or you might be self taught with a few years of industry experience.
What we offer in return
Competitive pay and equity
The chance to constantly work on stimulating intellectual challenges.
Gym membership reimbursement
Free, lunch, snacks, and caffeine every day
Medical, dental, and vision insurance
A flexible schedule that leaves time for all of your other interests
A budget for whatever hardware will make you most effective
Budget and resources to learn about the cutting edge of software engineering and computer vision",Full-time,https://www.indeed.com/viewjob?jk=3cd46b2394afb5be,"With the rapid growth of artificial intelligence, expert knowledge must use cutting-edge machine learning techniques to solve real-world problems. At Matroid, we're building an intuitive product that allows anyone to train and deploy computer vision models without the need to write code.",Today,2021-08-18
QA Functional Tester,ProFocus,Oregon•Remote,"TITLE: QA Functional Tester - Experience testing complex enterprise software solutions
LOCATION: Remote until further notice
PAY: Target pay for this role is between $55 and $65 per hour but may vary based on experience.

OVERVIEW:
ProFocus is searching for a QA Functional Tester with experience testing complex enterprise software solutions for a 6–12 month contract.
This is a Senior level QA Functional Tester role with great pay and is responsible for functional and performance testing of both custom developed applications as well as 3rd party applications like Guidewire’s ClaimCenter. Must be able to troubleshoot found issues to ensure defects are valid and help get closer to a possible cause. Please email us your resume so we can discuss.

POSITION DETAILS
Work closely with business analysts and developers to identify, script, and execute functional test cases
Create automated functional test cases
Identify regression test cases
Document and track issues identified in testing
Analyze failed test execution for failure point/s, and document all findings
Audit unit test results
Create automated functional test cases that can be executed by the extended testing team
Create and execute performance test scripts and report on the results

REQUIREMENTS
5 years of experience in quality assurance testing
Minimum of 3 years in functional testing experience required
1+ year experience testing APIs using Postman or Swagger API Development/Testing platforms
Have proven experience with automated testing tools such as Micro Focus UFT, LoadRunner, Selenium, Jmeter etc.
Must be team oriented, enjoy working collaboratively with cross-functional teams, and have communication skills
Authorization to work in the US is a precondition of employment. We do not sponsor work visas.

PREFERRED
Bachelor’s degree in Computer Science or demonstrate equivalent experience
Experience with Behavior Testing Framework
Experience working in an enterprise/cross functional organization
Previous work experience claims systems or Guidewire InsuranceSuite

ABOUT OUR CLIENT
Our client is a mid-sized company with a passion for helping their customers, great work environment, reputation, and culture.

WHY ProFocus
Candidates come first. ProFocus recently earned the Best in Staffing Award for Talent Satisfaction due to our World-Class service to our amazing candidates.
Quality process. We invest the time to learn about your skills, experience, and career goals in detail so we can find you a position that is a great fit.
Access to hiring managers. We have close relationships with some of the most respected companies in Portland. Due to those relationships, we can provide direct access to managers and positions that may not be available anywhere else.
Excellent benefits. We offer medical, dental, vision, 401k, education reimbursement, sick leave, and employer-paid short-term disability and life insurance.

Want to learn more? Contact one of our recruiters here or email info@ProFocusTechnology.com.
Please email us your resume to apply: Resume@ProFocusTechnology.com
Visit our Job Seekers page to learn more and review other opportunities.

ProFocus is an equal opportunity employer. We value diversity in our workplace and encourage all qualified applicants regardless of race, color, age, sex, religion, national origin, physical or mental disability, pregnancy, marital status, veteran or military status, genetic information, sexual orientation, or any other characteristic protected by federal, state, or local laws.",Contract,https://www.indeed.com/viewjob?jk=973bb4854c7c1f15,TITLE: QA Functional Tester - Experience testing complex enterprise software solutions,Today,2021-08-18
Software Tester,Kani Solutions Inc.,"San Diego, CA•Temporarily Remote","Position: Software Tester
Location: San Diego, CA
Hire Type: Fulltime / Permanent
Required Skills:
We are looking for profiles with Software Testing and Quality Assurance (STQA) background with emphasis on Software Testing Automation Engineering (Java, Selenium, Appium etc) in Healthcare related fields (Preferred)
Expected skills (Similar but not limited to): Java, Selenium, Appium, Mobile and Web automation, Automation testing tools, E2E testing, Functional Testing , Regression testing, CI/CD, TestNG etc.
Job Type: Full-time
Salary: $115,000.00 - $120,000.00 per year
Benefits:
Dental insurance
Health insurance
Paid time off
Relocation assistance
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
Ability to commute/relocate:
San Diego, CA: Reliably commute or planning to relocate before starting work (Preferred)
Education:
Bachelor's (Preferred)
Experience:
SQL: 1 year (Preferred)
Selenium: 1 year (Preferred)
Test automation: 1 year (Preferred)
Work Remotely:
Temporarily due to COVID-19
Speak with the employer
+91 609-952-6465",Full-time,https://www.indeed.com/viewjob?jk=a40e4ca1f5f021cd,,Just posted,2021-08-18
Sales Engineer,testrigor,California•Remote,"Come work with us in the ultra-fast growing startup! testRigor is a YC company that is changing the way software testing is done.
At testRigor, we are building a system which uses complex algorithms and Machine Learning to detect functionality and cover it by regression tests automatically.
We've revolutionized software testing and we're backed by top investors from Silicon Valley. We need help in letting the world know. Looking for driven human beings who want to make an impact on the world by changing the way software is tested.
LOCATION: US or Canada - 100% remote
Job Summary:
Searching for new clients who could benefit from your products in a designated region
Establishing new, and maintaining existing, relationships with customers
Analysing costs and sales
Meeting regular sales targets
Recording and maintaining client contact data
Making technical presentations and demonstrating how a product will meet client needs
Providing pre-sales technical assistance and product education
Liaising with other members of the sales team and other technical experts
Skills:
Previous technical experience - preferrably ideally in Testing
The ability to build relationships with clients quickly
Analytical and problem-solving skills
Interpersonal skills:
Can deliver quickly with excellent outcomes
A can-do attitude and a good team player
Eager for challenges and for learning new stuff
Able and willing to manage her/his own time
Professional and committed to the work
Excellent oral and written English
Culture:
We're a collection of people with an array of backgrounds set on making an impact on the future of our species. We're doing it by building a tool to help speed up the process of building software.
testRigor is an AI company helping it's customers to build test automation drammatically faster and spend less than 0.5% of time on test maintenance compare to Selenium and Appium.
testRigor grew 3X over the course of the last 6 months, graduating from the top startup accelerator and secured $5M investment from top VCs in Silicon Valley.",,https://www.indeed.com/viewjob?jk=adda80579767829e,Come work with us in the ultra-fast growing startup! testRigor is a YC company that is changing the way software testing is done.,1 day ago,2021-08-18
Functional Analyst,Proit Inc,"Emeryville, CA","Role: Functional Analyst
Location: Emeryville, CA
Type: Fulltime
Hands on experience on the LOS/POS/PPE systems, such as Encompass 360®, Encompass – TQL®, BytePro & MortgagebotLOS™ etc.
Agile / Domain knowledge in BFS (specifically Mortgage Insurance).
Hands on experience with XMLs & JSON
Hands on experience with MISMO 2.3.1, 3.3 & 3.4 standards.
Responsible for working on LOS specific issues and providing customers and coworkers with software-specific technical support and process/workflow assistance.
Analyst should be able to explain features of the LOS and LOS specific issues, answer questions about configuration, upgrades, and customizations.
Applies basic diagnostic techniques to identify problems, investigate causes and recommend solutions to correct common failures, and escalate and track complex problems when required.
Experience in handing L2 & L3 tickets.
Hands on experience in using Postman, SOAPUI & WINSCP.
Providing a high level of professionalism and cheerful customer service, the helpdesk representative will interact with employees in all positions.
Must have an in-depth understanding of the residential mortgage lending industry and of the complete loan origination process.
Strong service orientation and communication skills with the ability to provide specific, clear and timely verbal and written instructions to users regarding status updates to the LOS issues is required.
Proficiency with Microsoft Office Suite educate new users, as well as on-going technical support to management, loan originators, processors, underwriters, doc drawers and funders, post closers and other internal Encompass users.
Encompass Administrator Certification is highly desired. Coding experience is a plus.
Thanks & Regards,
Neelima
Email id: Neelima at proit-inc.com
Office: 636 324 8780
Job Type: Full-time
Schedule:
8 hour shift
Work Remotely:
No
Speak with the employer
+91 6363248780",Full-time,https://www.indeed.com/viewjob?jk=b763f8f1198aaa3f,,Today,2021-08-18
QA Specialist - Core Back Office,Inside Real Estate,Remote,"The QA Specialist is responsible for ensuring the timely delivery of a high-quality product that exceeds the expectations of Inside Real Estate customers and partners. Success in this role is measured by the QA Specialists’ ability to collaborate with product team members to define comprehensive and creative test plans that validate the product meets the requirements in terms of customer use cases, correctness, reliability, stability, usability, performance, privacy, and security.

Responsibilities
Work collaboratively with Product Owners on feature documentation, comprehensive test plans and on critical issues as they arise in production.
Define regression tests for product REST endpoints and web user interface.
Collaborate with QA automation engineers to define and implement tools that improve the efficiency of manual testing.
Collaborate with program managers, developers, and other quality assurance engineers to define and execute test plans for new features.
Assist in creating a Confluence library to track/update all current and changing functionality.
Identify reliability, stability, performance, accessibility, security and privacy issues in the product and report these in the team’s Jira bug tracking system.
Requirements
Qualifications
Bachelor’s Degree in Computer Science, Information Technology, or a related field or experience in software quality assurance, software testing and/or senior software support role
Highly methodical test discipline in functional and visual testing
Able to work independently and be flexible with changing priorities
Strong analytical skills, detailed, and process-oriented; ability to clearly define detailed test cases, and document corner cases
Demonstrated knowledge and experience working with web user interfaces and web services
Experience with JIRA, Confluence, Slack, Github, Bitbucket, Envoyer, Postman, TestRails and Zoom
Experience with Smoke testing, Functional Testing, Integration Testing, Regression testing and API testing on staging and production server environments


Bonus Qualifications (experience with any of the following is a bonus)
Developing automated tests and especially automating the testing of web services and web user interfaces.
Experience with billing, commission tracking and disbursements, along with reporting and accounting. Especially related to the real estate industry.
Benefits
Potential for growth
Exciting/energetic work environment and fun, creative culture
Health insurance, Dental and 401k matching
Paid Holidays and Paid Time Off
Health Care Plan (Medical, Dental & Vision)
Retirement Plan (401k, IRA)
Life Insurance (Basic, Voluntary & AD&D)
Paid Time Off (Vacation, Sick & Public Holidays)
Family Leave (Maternity, Paternity)
Short Term & Long Term Disability
Training & Development
Work From Home
Wellness Resources",Full-time,https://www.indeed.com/viewjob?jk=2b8761a7f32ee2d0,"The QA Specialist is responsible for ensuring the timely delivery of a high-quality product that exceeds the expectations of Inside Real Estate customers and partners. Success in this role is measured by the QA Specialists’ ability to collaborate with product team members to define comprehensive and creative test plans that validate the product meets the requirements in terms of customer use cases, correctness, reliability, stability, usability, performance, privacy, and security.",Just posted,2021-08-18
Quality Assurance Engineer for Fortune 500 Company,READY ARTWORK,Remote,"About Us:
Ready Artwork is a fast-paced and fast growing full service digital marketing agency located in Monrovia, California. Ready Artwork specializes in designing and marketing websites for private and public brands. We grow clients’ online presence through custom website designs, E-commerce websites, Search Engine Optimization (SEO), internet marketing, Social Media Marketing (SMM) and much more. Our culture is to be humble, have fun, and give a damn. If you are seeking a career path in a fun and exciting environment that focuses on teamwork, support, and growth, join us!
Job Description
Looking for a web-focused Quality Engineer with automated tool development experience and familiarity with the website development process to help ensure website quality through thorough manual and automated testing for a 6-month Contract to work directly with our client, Adobe.
This QE would be responsible for reviewing AEM site code and functionality to ensure acceptance criteria are met, web best practices are followed, and the site is bug free on a daily basis. This role would involve managing and maintaining a set of manual and self-automated test cases in primarily Javascript using WebDriverIO for automated browser testing.
Responsibilities
Automate feature tests for web pages according to test specification
Meet mandated deadlines
Provide status to team regularly
Effectively raise issues to management
Requirements
Undergraduate degree in computer science, and have 1 – 2 years working experience in web development
Self-driven, and working with team members to identify and solve challenging problems
Expertise with specific web technologies, including Adobe AEM, JavaScript, CSS, React, Bootstrap, and cache management
Familiarity with web test automation tools such as Selenium, Appium, WebdriverIO, Cucumber, and Mocha
Experienced with common tools such as GitHub, CircleCI/Jenkins, Rundeck, Mongo DB
Job Type: Full-time
Job Types: Full-time, Contract
Pay: Up to $35.00 per hour
Schedule:
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
Software Quality Assurance: 1 year (Preferred)
Test Automation: 1 year (Preferred)
Work Location:
Fully Remote",Full-time,https://www.indeed.com/viewjob?jk=689988d03f34ab23,,Just posted,2021-08-18
eCommerce Integration Specialist @Fulltime,Proit Inc,"Emeryville, CA•Temporarily Remote","Role: eCommerce Integration Specialist
Location: Emeryville, CA
Type of Job: Fulltime
Agile / Domain knowledge in BFS (specifically Mortgage Insurance).
Hands on experience with XMLs & JSON
Knowledge on MISMO 2.3.1, 3.3 & 3.4 standards.
Hands on experienced in MuleSoft , AnyPoint Studio & AnyPoint Partner Manager.
Knowledge in IBM Sterling Integrator for different orchestration and integration patterns (for example API’s, SOAP services, scheduled processes, and message queuing).
Hands on experience in using Postman, SOAPUI & WINSCP.
Knowledge with IBM Sterling Map editor, BPML/GPML
Need to support production issues with in SI & MuleSoft.
Experience in handing L2 & L3 tickets.
Knowledge in Lightwell framework is plus.
Work any new development needed in MuleSoft & SI
Strong working experience with the 3-layered approach to API’s in an API-led architecture
Ensure self and development team adheres to documented design and development patterns and standards.
Provide support for design, configuration and operational management of specific integration tool-based solutions and infrastructure/environment.
Thanks & Regards,
Neelima
Email id: Neelima at proit-inc.com
Office: 636 324 8780
Job Type: Full-time
Salary: $60,000.00 - $100,000.00 per year
Schedule:
8 hour shift
Ability to commute/relocate:
Emeryville, CA: Reliably commute or planning to relocate before starting work (Preferred)
Work Remotely:
Temporarily due to COVID-19
Speak with the employer
+91 6363248780",Full-time,https://www.indeed.com/viewjob?jk=d1e7866f62769dd4,,Today,2021-08-18
SDET Engineer,Beta Breakers,Remote,"Beta Breakers is one of the leading resources for software quality assurance services in the world. Our offices are located in Novato, California. Beta Breakers' clients range from small 4-5 person companies all the way to Fortune 500 firms. We are currently looking to augment our testing team with software test automation engineers who prefer to work in an interesting and fast-paced environment.
As an SDET at Beta Breakers, you will be involved in a test automation effort using Selenium driven by C#. Our current need is for a contract that will last 6+ months, but if you perform well, we will almost certainly ask you to join us permanently once the contract is concluded.
To be considered, you must be personable and possess good written and oral communication skills. You should be comfortable working independently and directing your own troubleshooting and issue research while remaining in constant communication/cooperation with other team members.
Qualification must include working knowledge of the following:
Selenium (Required)
Proficiency with an object oriented language (Required)
C# (nice to have)
.Net (nice to have)
Javascript (nice to have)
These positions are for enthusiastic and skillful individuals who are dedicated and willing to work as part of a close-knit team. This is a great opportunity for programmers who are intelligent, motivated, and willing to learn. Thank you for your interest in becoming part of Beta Breakers Quality Assurance Labs.
The position is hourly and starts at $30/hour plus benefits (after a brief training period).
Job Types: Full-time, Contract
Pay: $30.00 per hour
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Schedule:
8 hour shift
Experience:
Selenium: 1 year (Required)
Work Location:
Fully Remote
Work Remotely:
Yes",Full-time,https://www.indeed.com/viewjob?jk=dc1f5ea43c3f2db4,,Today,2021-08-18
